"Story","Title","Result","Date","Stability","Duration (s)"
"Login in MetLife page for execute all process","Login in MetLife webpage","SUCCESS","2019-03-01T15:39:40.187-05:00[America/Bogota]","0.0","37.76"
"I want to create a new customer","New custumer for Gsp","FAILURE","2019-03-01T15:40:50.226-05:00[America/Bogota]","0.0","0.24"
